2025-03-31 21:23:32, 18°C, 17°C, 53%, 639 W/m2, 0.0268%, 4.12%
2025-04-07 14:17:59, 23°C, 9°C, 56%, 573 W/m2, 0.093%, 5.15%
2025-04-07 14:18:04, 20°C, 13°C, 57%, 613 W/m2, 0.0552%, 5.93%
2025-04-07 14:18:09, 21°C, 2°C, 51%, 546 W/m2, 0.0287%, 4.78%
2025-04-07 14:18:14, 18°C, 10°C, 59%, 656 W/m2, 0.0677%, 6.67%
2025-04-07 14:18:19, 29°C, 15°C, 56%, 568 W/m2, 0.0865%, 4.31%
2025-04-07 14:18:24, 22°C, 0°C, 57%, 575 W/m2, 0.0741%, 5.44%
2025-04-07 14:18:29, 24°C, 6°C, 59%, 690 W/m2, 0.0252%, 5.58%
2025-04-07 14:18:34, 18°C, 10°C, 54%, 646 W/m2, 0.0638%, 4.28%
2025-04-07 14:18:39, 27°C, 3°C, 56%, 623 W/m2, 0.0674%, 6.9%
2025-04-07 14:18:44, 24°C, 14°C, 50%, 707 W/m2, 0.0917%, 4.69%
2025-04-07 14:18:49, 19°C, 3°C, 51%, 572 W/m2, 0.0691%, 5.13%
2025-04-07 14:18:54, 21°C, 15°C, 60%, 614 W/m2, 0.0666%, 6.51%
2025-04-07 14:18:59, 22°C, 8°C, 60%, 524 W/m2, 0.0982%, 6.74%
2025-04-07 14:19:04, 28°C, 6°C, 54%, 657 W/m2, 0.0633%, 4.16%
2025-04-07 14:19:09, 28°C, 11°C, 52%, 673 W/m2, 0.0916%, 5.0%
2025-04-07 14:19:14, 25°C, 4°C, 55%, 603 W/m2, 0.0735%, 6.42%
2025-04-07 14:19:19, 21°C, 8°C, 53%, 650 W/m2, 0.0665%, 4.47%
2025-04-07 14:19:24, 25°C, 0°C, 60%, 585 W/m2, 0.0799%, 5.29%
2025-04-07 14:19:29, 24°C, 14°C, 52%, 663 W/m2, 0.0924%, 6.59%
2025-04-07 14:19:34, 26°C, 12°C, 53%, 708 W/m2, 0.0704%, 4.76%
2025-04-07 14:19:39, 29°C, 4°C, 59%, 595 W/m2, 0.0744%, 4.51%
2025-04-07 14:19:44, 18°C, 7°C, 55%, 689 W/m2, 0.0678%, 5.31%
2025-04-07 14:19:47, 20°C, 9°C, 50%, 524 W/m2, 0.0656%, 6.26%
2025-04-07 14:24:35, 30°C, 14°C, 56%, 621 W/m2, 0.0561%, 6.34%
2025-04-07 14:25:07, 22°C, 8°C, 53%, 712 W/m2, 0.0777%, 4.25%
2025-04-07 14:25:12, 22°C, 10°C, 58%, 659 W/m2, 0.0869%, 6.31%
2025-04-07 14:25:17, 26°C, 17°C, 60%, 590 W/m2, 0.0363%, 6.58%
2025-04-07 14:25:22, 29°C, 12°C, 56%, 574 W/m2, 0.0666%, 4.12%
2025-04-07 14:25:27, 24°C, 13°C, 54%, 675 W/m2, 0.0554%, 4.52%
2025-04-07 14:25:32, 23°C, 19°C, 50%, 585 W/m2, 0.0823%, 6.63%
2025-04-07 14:31:48, 22°C, 20°C, 58%, 630 W/m2, 0.0557%, 6.7%
2025-04-07 14:31:53, 26°C, 19°C, 53%, 651 W/m2, 0.0613%, 6.16%
2025-04-07 14:31:58, 30°C, 10°C, 51%, 575 W/m2, 0.0764%, 6.91%
2025-04-07 14:32:03, 26°C, 8°C, 54%, 613 W/m2, 0.0209%, 5.49%
2025-04-07 14:32:08, 28°C, 21°C, 55%, 543 W/m2, 0.0475%, 6.32%
2025-04-07 14:32:13, 28°C, 20°C, 50%, 658 W/m2, 0.0776%, 5.92%
2025-04-07 14:32:18, 21°C, 15°C, 56%, 673 W/m2, 0.0979%, 4.55%
2025-04-07 14:32:23, 26°C, 6°C, 56%, 602 W/m2, 0.0907%, 5.62%
2025-04-07 14:32:28, 19°C, 14°C, 59%, 520 W/m2, 0.0383%, 5.48%
2025-04-07 14:32:33, 27°C, 17°C, 53%, 544 W/m2, 0.0526%, 4.36%
2025-04-07 14:32:38, 26°C, 14°C, 51%, 551 W/m2, 0.0872%, 5.5%
2025-04-07 14:32:43, 30°C, 4°C, 57%, 603 W/m2, 0.0574%, 5.32%
2025-04-07 14:32:48, 27°C, 9°C, 54%, 685 W/m2, 0.0435%, 6.38%
2025-04-07 14:32:53, 18°C, 17°C, 50%, 664 W/m2, 0.0706%, 5.92%
2025-04-07 14:32:58, 24°C, 2°C, 56%, 523 W/m2, 0.0443%, 6.84%
2025-04-07 14:33:03, 30°C, 14°C, 52%, 534 W/m2, 0.0443%, 4.8%
2025-04-07 14:33:08, 28°C, 15°C, 53%, 560 W/m2, 0.0744%, 5.54%
2025-04-07 14:33:13, 22°C, 13°C, 60%, 669 W/m2, 0.0893%, 4.07%
2025-04-07 14:33:18, 29°C, 10°C, 51%, 516 W/m2, 0.0369%, 4.16%
2025-04-07 14:33:23, 21°C, 11°C, 52%, 528 W/m2, 0.026%, 4.61%
2025-04-07 14:33:28, 26°C, 9°C, 54%, 616 W/m2, 0.0562%, 4.38%
2025-04-07 14:33:33, 23°C, 5°C, 54%, 702 W/m2, 0.0279%, 5.14%
2025-04-07 14:33:38, 26°C, 2°C, 50%, 577 W/m2, 0.0246%, 5.25%
2025-04-07 14:33:43, 21°C, 0°C, 56%, 538 W/m2, 0.0337%, 6.16%
2025-04-07 14:33:48, 23°C, 7°C, 51%, 684 W/m2, 0.0847%, 6.18%
2025-04-07 14:33:53, 23°C, 20°C, 51%, 589 W/m2, 0.0414%, 4.96%
2025-04-07 14:33:58, 29°C, 2°C, 60%, 685 W/m2, 0.0552%, 5.51%
2025-04-07 14:34:03, 25°C, 12°C, 57%, 629 W/m2, 0.0726%, 6.98%
2025-04-07 14:34:08, 21°C, 6°C, 59%, 517 W/m2, 0.0293%, 6.46%
2025-04-07 14:34:13, 29°C, 3°C, 54%, 563 W/m2, 0.0314%, 4.75%
2025-04-07 14:34:18, 28°C, 17°C, 56%, 534 W/m2, 0.0283%, 6.88%
2025-04-07 14:34:23, 23°C, 0°C, 57%, 547 W/m2, 0.0352%, 4.59%
2025-04-07 14:34:28, 24°C, 8°C, 58%, 702 W/m2, 0.071%, 4.2%
2025-04-07 14:34:33, 23°C, 14°C, 54%, 504 W/m2, 0.0987%, 6.9%
2025-04-07 14:34:38, 29°C, 21°C, 60%, 571 W/m2, 0.0974%, 6.56%
2025-04-07 14:34:43, 29°C, 12°C, 51%, 551 W/m2, 0.0297%, 5.69%
2025-04-07 14:34:48, 25°C, 2°C, 58%, 620 W/m2, 0.026%, 4.91%
2025-04-07 14:34:53, 28°C, 16°C, 57%, 585 W/m2, 0.0778%, 4.24%
2025-04-07 14:34:58, 30°C, 4°C, 55%, 594 W/m2, 0.0899%, 4.66%
2025-04-07 14:35:03, 21°C, 10°C, 52%, 569 W/m2, 0.047%, 4.16%
2025-04-07 14:35:08, 24°C, 7°C, 51%, 520 W/m2, 0.0854%, 4.43%
2025-04-07 14:35:13, 23°C, 1°C, 56%, 561 W/m2, 0.0538%, 4.75%
2025-04-07 14:35:18, 26°C, 21°C, 56%, 632 W/m2, 0.0279%, 5.33%
2025-04-07 14:35:23, 18°C, 5°C, 57%, 680 W/m2, 0.0772%, 5.21%
2025-04-07 14:35:28, 18°C, 11°C, 57%, 682 W/m2, 0.0535%, 4.58%
2025-04-07 14:35:33, 26°C, 10°C, 52%, 553 W/m2, 0.0292%, 4.46%
2025-04-07 14:35:38, 26°C, 6°C, 51%, 706 W/m2, 0.0235%, 4.55%
2025-04-07 14:35:43, 30°C, 13°C, 54%, 712 W/m2, 0.0837%, 6.43%
2025-04-07 14:35:48, 22°C, 8°C, 60%, 504 W/m2, 0.0698%, 6.61%
2025-04-07 14:35:53, 30°C, 11°C, 51%, 640 W/m2, 0.0332%, 5.2%
